organization,category,contact_type,contact_value,source_url,note
멀티캠퍼스,교육 공급사(B2B),phone,1666-0509,https://phone6.multicampus.com/m3/customer_notice.html,고객센터
멀티캠퍼스,교육 공급사(B2B),form,문의하기/채용문의,https://careers.multicampus.com/ko/o/162658/apply,공식 채용 페이지 내 문의 안내
휴넷,교육 공급사(B2B),phone,1588-6559,https://hunet.co.kr/,공식 사이트 고객행복센터
휴넷,교육 공급사(B2B),form,기업교육 통합 문의하기,https://hrd.hunet.co.kr/Contents/hrdarchive,공식 기업교육 페이지
유밥(ubob),교육 공급사(B2B),email,ubob@ubob.com,https://ubob.com/service/education,공식 사이트 하단
유밥(ubob),교육 공급사(B2B),phone,1566-3180,https://ubob.com/service/education,공식 사이트 하단
유밥(ubob),교육 공급사(B2B),form,기업교육 문의하기,https://ubob.com/service,공식 문의 폼
미래솔,교육 공급사(B2B),email,edu@miraesol.kr,https://www.miraesol.kr/dxsolution,공식 사이트 하단
미래솔,교육 공급사(B2B),phone,02-6952-2350,https://www.miraesol.kr/dxsolution,공식 사이트 하단
그린온라인캠프,교육 공급사(B2B),email,js0412@greenart.co.kr,https://hrdit.greenart.co.kr/,공식 사이트 하단
그린온라인캠프,교육 공급사(B2B),phone,02-592-4080,https://hrdit.greenart.co.kr/,공식 사이트 하단
그린온라인캠프,교육 공급사(B2B),email,gitac.online@gmail.com,https://hrdit.greenart.co.kr/main/eduGuide_corp,사업주 지원 문의 메일
구름(goorm),교육 공급사(B2B),email,contact@goorm.io,https://accounts.goorm.io/goorm-main,공식 사이트
구름(goorm),교육 공급사(B2B),phone,031-600-8586,https://accounts.goorm.io/goorm-main,공식 사이트
네이버 커넥트재단(부스트캠프),사내교육 운영/비영리재단,email,connect.info@connect.or.kr,https://connect.or.kr/contact.html,재단 공식 연락처
네이버 커넥트재단(부스트캠프),사내교육 운영/비영리재단,phone,1522-9182,https://connect.or.kr/contact.html,재단 공식 연락처
부스트캠프 AI Tech,부트캠프 트랙,email,boostcamp_ai@connect.or.kr,https://boostcamp.connect.or.kr/faq.html,FAQ Contact
부스트캠프 Web·Mobile,부트캠프 트랙,email,boostcamp_wm@connect.or.kr,https://boostcamp.connect.or.kr/faq.html,FAQ Contact
삼성 SSAFY,사내교육 협력/아카데미,email,ssafy@ssafy.com,https://www.ssafy.com/ksp/jsp/swp/etc/swpPrivacy.jsp,공식 개인정보처리방침 내 문의
카카오테크 부트캠프(RAPA),부트캠프,email,ktb@rapa.or.kr,https://edu.rapa.or.kr/recruitment/1862,모집 공고 문의처
크래프톤 정글,사내교육 운영사,email,jungle@krafton.com,https://jungle.krafton.com/news/faq,공식 FAQ 하단
크래프톤 정글,사내교육 운영사,email,jungle@krafton.com,https://jungle.krafton.com/program/info,공식 프로그램 페이지 캠퍼스 안내
LG CNS,사내교육 운영사/AX,phone,02-3777-1114,https://www.lgcns.com/kr/contact-us/inquire,공식 문의 페이지
LG CNS,사내교육 운영사/AX,form,상담 및 문의하기,https://www.lgcns.com/kr/contact-us/inquire,공식 문의 폼
삼성전자,사내교육 운영사/DX,phone,1588-3366,https://www.samsung.com/sec/support/model/SM-G955NZSALUO/,제품/서비스/멤버십 대표번호
삼성전자,사내교육 운영사/DX,phone,02-2255-0114,https://www.samsung.com/sec/support/model/SM-G955NZSALUO/,대표번호
카카오,사내교육 운영사/디지털,phone,1899-1326,https://www.kakaocorp.com/ir/wayToCome,카카오 본사 대표전화
카카오,사내교육 운영사/디지털,phone,1577-3754,https://www.kakaocorp.com/ir/wayToCome,카카오 서비스 고객센터
카카오,사내교육 운영사/디지털,phone,1577-3321,https://www.kakaocorp.com/ir/wayToCome,다음 서비스 고객센터
카카오,사내교육 운영사/디지털,web,카카오 고객센터,https://cs.kakao.com/?t_src=mainpage,공식 고객센터 웹 문의
SK텔레콤,사내교육 운영사/AI·데이터,phone,114(휴대폰),https://ktoa.easymedia.kr/ko/civil-complaint/communication/contents,KTOA 통신사 민원전화
SK텔레콤,사내교육 운영사/AI·데이터,phone,080-011-6000,https://ktoa.easymedia.kr/ko/civil-complaint/communication/contents,KTOA 통신사 민원전화
SK텔레콤,사내교육 운영사/AI·데이터,phone,1599-0011,https://ktoa.easymedia.kr/ko/civil-complaint/communication/contents,KTOA 통신사 민원전화
인프런,교육 공급사(B2B),email,info@inflearn.com,https://www.inflearn.com/pages,공식 페이지 하단 메일to
인프런,교육 공급사(B2B),phone,070-4948-1181,https://www.inflearn.com/pages,공식 페이지 하단 전화번호
인프런,교육 공급사(B2B),form,기업 도입 문의,https://www.inflearn.com/intro-group,인프런 기업교육 소개/문의 경로
인프런,교육 공급사(B2B),form,서비스 제안 제출(Typeform),https://www.inflearn.com/request-to-inflearn,공식 제안 접수 폼
