case_id,created_at,status,source_type,source_url,language,domain,track,symptom,raw_snippet,repro_steps,expected_behavior,actual_behavior,root_cause,fix_summary,impact_score,frequency_score,clarity_score,priority_score,owner,reviewer,lesson_id,notes
CASE-2026-03-011,2026-03-09,new,github_issue,https://github.com/microsoft/vscode/issues/270772,dart,file_generation,automation_literacy,"Agent reports files created, but files missing","Agent confirms create; explorer shows nothing","1) Ask agent to generate multiple files 2) Open explorer","Files should exist after success confirmation","No files appear; links fail","False-positive task completion reporting","Add post-action filesystem verification and retry logic",4,4,4,4.0,,,,"Teaches trust-but-verify workflow"
CASE-2026-03-012,2026-03-09,new,github_issue,https://github.com/microsoft/vscode-copilot-release/issues/5184,mixed,session_reliability,automation_literacy,"Agent enters no-response crash loop during iterative coding","""Sorry, no response was returned"" repeatedly","1) Multi-turn iterative asks 2) Continue/refine repeatedly","Agent should preserve progress and continue","Crash loop + generated changes lost","Session/state handling and rate-limit recovery weakness","Checkpoint generated patches per step before next turn",4,3,4,3.8,,,,"Useful for resilient workflow lesson"
CASE-2026-03-013,2026-03-09,new,github_issue,https://github.com/microsoft/vscode-copilot-release/issues/3927,typescript,context_window,automation_literacy,"Large-file edit fails due length limit","Response hit length limit on ~7000-line edit","1) Request broad refactor in large file","Agent should chunk edits safely","Single-pass fails with non-actionable error","No automatic chunking strategy for long outputs","Split task into bounded file regions + batch apply",3,4,5,3.8,,,,"Maps to practical chunking techniques"
CASE-2026-03-014,2026-03-09,new,github_issue,https://github.com/microsoft/vscode/issues/261555,python,notebook_editing,automation_literacy,"Inline chat edits notebook in read-only preview, not active cell","Immutable preview cells appear","1) Use Ctrl+I in notebook cell 2) Request modification","Cell document should mutate in place","Preview-only read-only output generated","Notebook editor integration mismatch","Require explicit apply-to-cell step + diff check",3,3,4,3.3,,,,"Notebook-specific AI editing pitfall"
CASE-2026-03-015,2026-03-09,new,github_issue,https://github.com/microsoft/vscode/issues/275672,typescript,agent_regression,debugging,"Model iteration introduces repeated regressions","Report notes code breakage and infernal iteration","1) Let agent perform repeated auto-fixes 2) run tests each loop","Each iteration should monotonically improve","Later iterations re-break previous fixes","Unstable planning and missing regression guardrails","Add per-iteration regression test gate",4,3,3,3.5,,,,"Great for iterative debugging lesson"
CASE-2026-03-016,2026-03-09,new,github_issue,https://github.com/github/github-mcp-server/issues/937,python,environment_limits,automation_literacy,"Agent promises artifact generation but cannot persist file","PPT generation blocked by environment limitations","1) Request PPT generation in Copilot context 2) expect local save","Artifact should save or fail early with actionable fallback","Late-stage failure after generation","Capability mismatch not surfaced upfront","Require capability preflight + fallback script generation",3,3,4,3.3,,,,"Automation literacy: environment-aware planning"
CASE-2026-03-017,2026-03-09,new,stackoverflow,https://stackoverflow.com/questions/79084529/streamlit-javascript-integration,python,javascript_bridge,debugging,"Assistant advice still leaves integration returning wrong value type","return 2 gives unexpected behavior","1) Use st_javascript with numeric return 2) inspect output","Expected numeric value pass-through","Buggy behavior unless string workaround used","Tooling/runtime quirk not handled by generic AI advice","Add type normalization and minimal repro debugging steps",2,3,4,2.7,,,,"Small repro-first debugging case"
CASE-2026-03-018,2026-03-09,new,official_blog,https://openai.com/index/why-we-no-longer-evaluate-swe-bench-verified/,polyglot,evaluation_trust,verification,"Benchmark pass does not always imply true bug-fix quality","Audit found many unresolved benchmark quality issues","1) Compare repeated runs on same issue 2) inspect failing subsets","Benchmark should reliably reflect engineering ability","Significant portion had test/problem-design issues","Over-reliance on imperfect benchmark labels","Teach multi-metric validation beyond single benchmark score",3,3,5,3.4,,,,"Meta-lesson for AI evaluation literacy"
CASE-2026-03-019,2026-03-09,new,official_blog,https://openai.com/index/introducing-swe-bench-verified/,python,error_handling,debugging,"Model struggles with simple but brittle bug contexts without proper tests","Example: 'kern referenced before assignment' issue framing","1) Reproduce issue from problem statement 2) write focused test 3) patch","Patch should satisfy explicit fail-to-pass test","Without targeted test, fix attempts drift","Lack of test-first debugging discipline","Force test-first workflow in lesson template",3,4,5,3.7,,,,"Good bridge from benchmark to lesson design"
CASE-2026-03-020,2026-03-09,new,official_docs,https://docs.github.com/en/copilot/responsible-use/copilot-coding-agent,polyglot,public_code_match,verification,"Generated code may match public code unexpectedly","Copilot docs note near-match/public code risk","1) Generate code for common task 2) similarity-check output","Low accidental copy risk with clear provenance","Possible near-match output without references","Model can reproduce training-like patterns","Add provenance/license check step before merge",4,3,4,3.7,,,,"Useful for compliance + review checklist"
